Title,Instructor,Description,Rating,User_vote,Total_hours,Lecture,Level
The Mac Terminal Course for Beginners,Francesco Santi,Learn the Mac Terminal From Total Beginner to writing your first Script  with real world exercises solved in details,4.8,358,4.0,62,Beginner
Ionic Apps with Firebase,Samarth Agarwal,Build a Server less Social App with Ionic and Firebase for Android and iOS from scratch to store ,4.7,358,5.5,57,Intermediate
Advanced iOS and Firebase  Rideshare,Devslopes by Mark Wahlbeck,Learn advanced iOS and Firebase by building your very own full stack Uber clone App,4.6,358,16.0,40,Intermediate
Level Up Your CSS Animation Skills,Donovan Hutchinson,A practical guide to creating amazing CSS animation on the web,4.4,358,3.5,32,All Levels
Create Websites with HTML and CSS for Beginners,Srinivas Vanamala,Learn Web Development by Building Websites with HTML5 and CSS3 from Scratch ,4.6,357,8.5,117,Beginner
Learn HTML  Beginner to Advanced,Farda Karimov,Complete HTML course beginner to advanced level  with both theoretical and practical explanations,4.2,357,3.0,39,All Levels
Mastering SharePoint Framework SPFx Development,Kameswara Sarma Uppuluri,Learn How to Develop SPFx Solutions using React and NoJS Frameworks From Scratch Step By Step,4.5,361,21.5,112,All Levels
Learn Python  The Complete Python Automation Course ,Avinash Jain  TheCodex,Learn all about Python Automation from Web Scraping and Browser Automation to Excel  Word and GUI Automation,4.5,357,5.5,55,All Levels
How To Create A Web Hosting Business   WHMCS Tutorial,Darrel Wilson,Learn How To Make A Web Design Company With WHMCS   WHMCS Tutorial,4.6,357,3.5,24,Beginner
PHP for Absolute Beginners,Stone River eLearning,Learn the basics of PHP programming  No prior experience required ,4.1,357,11.5,84,Beginner
MySQL Database Training for Beginners,Simon Sez IT,Learn MySQL and Take Your Web Development to the Next Level ,4.4,356,5.5,41,Intermediate
Three js and WebGL 3D Programming Crash Course VR  OpenGL,Frahaan Hussain,Learn how to create 3D web applications and games for web browsers with ease ,4.1,356,1.5,21,All Levels
CHash Basics   Learn Coding and Programming for Beginners,David Nixon,Learn How to Code from Scratch and the Basics of Software Development in this Intro CHash Programming Course for Beginners,4.7,356,4.0,64,All Levels
The Complete Flutter UI Masterclass   iOS  Android  and Web,Marcus Ng,Learn how to build beautiful and responsive iOS  Android  and Web user interfaces using Flutter and Dart ,4.5,357,7.0,36,All Levels
Learning Path  The Roadway to IBM Cognos Analytics,Packt Publishing,Acquaint with new unified interface of Cognos Analytics to consume  modify  and author dashboards,4.4,356,6.0,49,Beginner
Introduction to Kotlin for Java Developers,Dmitri Nesteruk,Learn Kotlin  a modern language for the JVM  now officially supported on Android  ,4.5,355,5.0,54,All Levels
Agile Scrum FundamentalsPlusScrum MasterPlusScrum Certification,Sanjeev Raman,Introduction to  Lean   Agile Scrum Fundamentals Plus Agile and Scrum concepts Plus Overview of Scrum Agile,4.4,355,3.0,16,All Levels
Microsoft Azure  SCRUM and MicroServices with  NET,Brett Hargreaves,Build Enterprise class Applications with Microsoft Azure and Stand Out from the Crowd,4.5,355,4.5,45,Intermediate
Mastering AWS CloudFormation Templates Using JSON,Hari Kammana,Master the techniques of developing Cloud Formation templates using JSON  With advanced Concepts And Examples,4.6,356,2.5,28,All Levels
Introduction to Kubernetes using Docker,Stone River eLearning,Kubernetes  The World of Microservices,4.0,355,4.5,36,All Levels
Real time Credit card Fraud Detection using Spark 2 2,Pramod Narayana,Real time Credit card Fraud detection using Spark Streaming  Spark ML  Kafka  Cassandra and Airflow,4.2,356,3.0,30,All Levels
Beat the Codility Coding Interview in Python,James Cutajar,Learn and practice how to solve many coding puzzles from Codility using Python ,4.6,359,5.5,83,All Levels
Best Practices To Creating Complete APEX Web Apps Easily,Michael Nwaogu,Learn standard approaches to developing complete web enterprise APEX apps from scratch to finish easily and rapidly ,4.0,355,5.5,59,Intermediate
Learn How to Build a Website with jQuery,One Month,Learn jQuery in One Month,4.1,353,4.0,44,Beginner
The Philosophy of FileMaker   Part 1,John Mark Osborne,Intermediate FileMaker Pro 15 Scripting  Calculations  Relationships and Reporting,4.8,353,8.5,91,Intermediate
Hibernate quick practical guide with Java basics,Chaand Sheikh  StudyEasy Organisation,Learn how to use Hibernate from scratch with easy to understand Java examples  Course is built for beginners,4.4,353,2.0,26,Beginner
React Native Design   Build front end of 10 mobile Apps,Igneus Technologies,Build front end of 10 Apps for Android and iOS using React Native  Expo  Native Base  Elements   All covered,3.6,352,6.5,47,All Levels
Markdown Mastery  Simple yet Powerful Writing Format,Jason Taylor,A Comprehensive Guide to the Markdown Writing Format offering both technical examples and hands on demos ,4.3,352,1.0,29,Beginner
web development for beginners,Adnan Ahmad,HTML CSS JavaScript and JQuery,3.8,352,6.5,112,Beginner
Practical Data Science  Analyzing Stock Market Data with R,Manuel Amunategui,Learn basic financial technical analysis technics using R  quantmod  TTR  to better understand your favorites stocks  ,4.4,352,4.0,18,All Levels
AWS SageMaker Practical for Beginners   Build 6 Projects,Dr  Ryan Ahmed  Ph D   MBA  SuperDataScience Team  Mitchell Bouchard,Master AWS SageMaker Algorithms  Linear Learner  XGBoost  PCA  Image Classification  and Learn SageMaker Studio and AutoML,4.5,351,14.5,99,Intermediate
Recursion  Backtracking and Dynamic Programming in Python,Holczer Balazs,Learn Recursion  Backtracking  Divide and Conquer Methods and Dynamic programming via Examples and Problems in Python,4.7,351,9.0,90,All Levels
Build a Realtime App with React Hooks and GraphQL,Reed Barger,Master the latest and greatest features in React within the context of a full stack  real world app,3.6,351,4.5,37,Intermediate
Microsoft SQL Server 2017 Database Training For Beginners,Valiveti Sekhar,Learn Microsoft SQL server step by step An absolute beginners online course to learn SQL Server Database from scratch ,4.4,352,11.5,102,Beginner
Learn Unity s Entity Component System to Optimise Your Games,Penny de Byl  Penny  Holistic3D com,Update your Unity programming skills to take advantage of the new Data Orientated Technology Stack and Burst Compiler,4.7,351,13.0,75,Intermediate
The Complete Unity Game Development Course,Codestars by Rob Percival  Penny de Byl  Penny  Holistic3D com,Create Your Own First Person Shooter Zombie Game,4.7,352,20.0,100,Beginner
Intro To Django with Python For Web Development,John Elder,Learn Django The Fast and Easy Way ,4.7,349,1.5,23,Beginner
The Complete Android Oreo and Nougat App Tutorials,Smartherd Developers,This course is designed for Android enthusiast s to earn valuable skills of its usage and application from scratch ,4.0,349,17.5,155,All Levels
Apache Spark 2 0 Plus Python   DO Big Data Analytics and ML,V2 Maestros  LLC,Project Based  Hands on Practices  Spark SQL  Spark Streaming  Real life Full cycle Project,3.6,349,7.5,58,Beginner
Reactive Programming in iOS with RxSwift,Scott Gardner,Learn how to use Reactive Extensions for Swift and Cocoa Touch,4.5,348,3.5,34,Intermediate
Become an iOS Android Game Developer with Unity 2017,Dragan Neskovic  Jasmin Skamo,Re create the most popular apps and publish them to the App Store   Play Store ,3.5,348,5.0,49,Beginner
Statistics Made Easy by Example for Analytics  data science,Gopal Prasad Malakar,Statistics Simplified   Statistics Made Easy by Excel Simulations  Master fundamentals of statistics and Probability ,4.0,348,16.0,112,All Levels
iOS 12 Swift 4 2   The Complete iOS App Development Bootcamp,Dr  Angela Yu,From Beginner to iOS App Developer with Just One Course ,4.9,347,55.5,525,All Levels
The Complete iOS11 Swift4 Development Course   Build 28 Apps,Dee Aliyu Odumosu,Use Xcode 9 and Swift 4 to make great apps  Learn CoreML  Machine Learning  and ARKit  Artificial Reality  for iOS 11,4.0,347,43.0,512,Beginner
Unreal Engine 4  Build Your Own First Person Shooter,Aidan Perry,Learn how to create a fully functioning first person shooter in UE4  from scratch ,4.0,348,14.0,93,All Levels
Javascript Intermediate level 2   All about functions,Edwin Diaz  Coding Faculty Solutions,Learn to create different types of function in JavaScript,4.3,347,2.5,28,Intermediate
Introduction to industry REST microservices in Golang Go,Federico Le n,Everything you need to get serious about microservices design and development in Golang  From design to production metrics,4.1,348,16.0,31,All Levels
Scalable programming with Scala and Spark,Loony Corn,Use Scala and Spark for data analysis  machine learning and analytics,4.6,346,9.0,55,All Levels
The Advanced Xamarin Developer Masterclass,Tim Buchalka s Learn Programming Academy  Eduardo Rosas,Includes Xamarin University Quality content   This Advanced Xamarin Tutorial Course Focuses on Cross Platform Concepts,4.5,346,14.0,88,Intermediate
The Ultimate PHP with MySQL Developer Course,Skillbox  LLC,Learn the fundamentals of PHP and MySQL with this course  It s fast and efficient ,4.2,346,3.0,35,All Levels
Web Development   CSS3   Scratch till Advanced Project Based,Tharun Shiv,Complete CSS 3 Course from basics till Advanced like Gradients  Animations  MediaQueries so on  Includes a Project also ,2.6,346,4.5,54,All Levels
TDD in CHash From A to Z,Engineer Spock,Grow software by TDD with SpecFlow Plus TestStack White  Learn test driven development and improve unit testing skills ,4.5,346,9.5,83,All Levels
Android Studio Masterclass  Conquer the Android IDE,Kurt Anderson,Android Studio Masterclass  Learn Android Studio from Top to Bottom and Become a Better Android Developer ,4.4,344,3.5,52,All Levels
Python 3 for ABSOLUTE beginners   April 2020 Edition ,Marufa Yasmin,Start as a complete beginner and go all the way to write youw own python code from scratch ,3.5,344,40.0,7,All Levels
Python Network Programming   TCP IP Socket Programming,Attreya Bhatt,Python Networking Programming is simple for beginners  powerful for the pros  Use it to create tools  sockets and more ,3.9,344,3.5,32,All Levels
Continuous Delivery on Amazon Web Services April 2017,Mahmoud Matouk,Closer look at CI CD services  CodeCommit  CodeBuild  CodeDeploy  CodePipeline and CodeStar  Traditional and Serverless apps,4.6,344,4.0,31,Intermediate
Python Programming and Software Design For Absolute Beginners,Academy of Computing   Artificial Intelligence  Ihan Lelwala,Beginners Guide to Programming and Software Design,4.6,346,4.0,39,All Levels
Python Learn by Python Projects and Python Quizzes in 2021,Tamer Ahmed,Python full Course Python Quizzes  Python Projects in Games Data Analysis and Python Scripting for all Python 3 Developers,3.9,342,8.5,169,All Levels
Gherkin and Cucumber  BDD Testing for IOS  Android  and Web,Shannon Atkinson,This course will teach you Gherkin and Cucumber to start automating your iOS  Android  and Website testing ,3.9,342,2.0,36,Beginner
TestNG Complete Bootcamp For Beginners   Novice To Ninja,Lets Kode It,A Z guide for learning TestNG Framework  Next Generation  to speed up your automation goals,4.5,342,5.0,38,All Levels
Get Expertise in Database Testing Plus Linux for Testers     ,T World,E2E Setup Installation  E2E Database Testing  coverage   Joins   Grouping DDL DML DRL Unix  Linux commands PlusShell Script,4.5,342,13.5,151,All Levels
React VR   Creating Virtual Reality Apps,David Joseph Katz,Create the virtual reality apps you always wanted with ReactVR  Included  React js  ReactVR  ES6  JavaScript  and more ,4.1,341,3.0,43,All Levels
ReactJS and Flux  Learn By Building 10 Projects,Eduonix Learning Solutions  Eduonix Tech  ,Get the real world experience by building professional projects in React and Flux,4.1,341,11.0,61,All Levels
Complete SQL Guide,Diptam Paul,SQL MYSQL course,4.1,342,3.0,43,Beginner
Epic Construct 2 Course  Complete 60 Beginner Games ,John Bura  Mammoth Interactive,Learn to build 60 games in Construct 2  without programming  Learn the secrets behind top selling mobile games ,4.2,340,36.5,435,All Levels
Learn DevOps with Jenkins All in One Guide,Eduonix Learning Solutions,Be a DevOps Guru and master CI and CD with Jenkins,3.7,340,4.5,33,Intermediate
The Ultimate Tkinter Course  GUI for Python projects,John Harper,GUI for Python training  Master Tkinter through practical tutorials and exercises  Create real world projects ,4.3,340,3.5,42,All Levels
Intro to CHash Programming and Scripting for Games in Unity,3dmotive LLC,Learn the principle fundamentals of scripting and coding with the CHash language for games inside of Unity ,4.0,340,4.0,61,Intermediate
Flutter REST API Crash Course  Build a Coronavirus App,Andrea Bizzotto,Build a Coronavirus Tracking App  and learn how to use REST APIs in Flutter,4.6,341,2.5,50,All Levels
Wix Web Design 2021 Level 1 BEGINNER  Wix Certified Trainer,Michael Wood  M Ed   M S ,Learn from a Wix Certified Trainer how to build an engaging website that converts visitors to leads    guaranteed ,4.5,339,12.0,41,Beginner
The Python Certification Course,MdJahidul Said  M Tech,Learn and understand Python using this course  Get your python programmer certificate ,3.6,337,35.0,7,All Levels
HTML Workshop,Vigoma Trainings,Learn HTML from scratch with this HTML Workshop,4.2,337,2.0,17,All Levels
Introduction to D3 js with React,Adam Janes,Learn how to use D3 js  version 6 x  in a React environment  Learn enough D3 to be dangerous  and get started ASAP ,4.4,337,5.5,52,Intermediate
Learn Python Basics,Omkar Ganthade,Learn Complete Python with Basics,3.8,337,1.0,23,Beginner
Spice Up Your CHash Code With Advanced Language Features,Mark Farragher,A comprehensive guide on how to spice up your CHash code with many advanced language features,4.4,337,2.5,24,All Levels
Complete CPlusPlus programming from CPlusPlus Basics to Advanced CPlusPlus,Muhammad Hamza AbdulRehman,Learn CPlusPlus Basics and Advanced topics like Object Oriented Programming in CPlusPlus Class Object Inheritance and CPlusPlus pointers,4.2,339,3.5,45,All Levels
Kotlin for Beginners  Next Android platform language,VJ Bambhaniya,Learn how to get started with kotlin and build solid foundation ,4.2,336,4.0,16,Beginner
Working with MongoDB,RefactorU LLC,We will examine MongoDB  one of the leading NoSQL database systems ,4.3,336,42.0,8,Intermediate
Bootstrap 3 Beginners  Create a Professional Landing Page,Andy Clarke,Learn how to create a clean  modern and professional responsive landing page for your app  portfolio  business or blog ,4.7,336,2.5,55,Beginner
Git from Basics to Advanced  Practical Guide for Developers,Andrii Piatakha  Learn IT University,Learn Git from basics to advanced level  During the course we will create our own project that we will manage with Git,4.4,335,3.5,22,All Levels
Math For Video Games  The Fastest Way To Get Smarter At Math,GameDev tv Team  Ben Tristem  Gary Pettie,Learn Math for Video Game Design and Coding through Solving fun Video Game Problems,4.7,338,13.5,122,Beginner
Complete Guide for Salesforce integration,Debasis Jena,Complete guide and one stop sol to learn salesforce integration with live coding which covers many real time scenarios,4.5,336,19.0,95,All Levels
Android Studio Course  Build Apps  Android 6 0 Marshmallow,Antonio Pach n,Android tutorial for all level students  Learn creating different Apps from scratch  Build Apps  With captions,4.1,334,9.5,89,All Levels
Beginner s Guide to PostgreSQL,Miguel Alho,PostgreSQL Tutorial  What you need to know to get started with relational databases in PostgreSQL,4.0,334,6.0,70,All Levels
Support Vector Machines in Python  SVM Concepts and Code,Start Tech Academy,Learn Support Vector Machines in Python  Covers basic SVM models to Kernel based advanced SVM models of Machine Learning,4.4,334,6.0,54,All Levels
Learn CPlusPlus Programming  for beginners from basics to advanced,DoEdu IT Educations,Learn  CPlusPlus programming from scratch with best examples,4.1,334,8.5,107,Beginner
Angular Progressive Web Apps PWA MasterClass and FREE E Book,Angular University,Practical Guide to Angular Progressive Web Applications  PWA ,4.2,335,4.0,44,All Levels
Java Programming Fundamentals,Nazir Hakim,A step by step beginner s guide to programming in Java,3.9,333,1.5,13,Beginner
Complete Course on Data Visualization  Matplotlib and Python,Bekzod Ruzmetov,Master Matplotlib Anatomy and Learn Seaborn to Visualize Data with Custom  Beautiful Charts  Suitable for All Purposes,4.3,341,3.5,49,All Levels
Test Automation with Katalon Studio Selenium WebDriver,Abode QA,Katalon Studio   Keyword driven tool written on top of Selenium for Web Application Automation   API Testing,4.4,336,10.5,101,All Levels
Fundamentals of Java with NetBeans,Christoph Tornau,Basic principles of the Java language by example,4.5,333,2.0,31,Beginner
Learn to Setup Websites from Scratch,Eduonix Learning Solutions  Eduonix Tech  ,A DIY Guide to Help you Build and Launch your Website,4.1,333,3.5,25,Beginner
Professional Azure SQL Database Administration,Packt Publishing,Master your skills to efficiently manage and maintain data on the cloud,3.7,333,5.0,66,Expert
VSD   Circuit Design and SPICE Simulations   Part 1,Kunal Ghosh,Learn how things got started in VLSI,4.5,333,4.0,30,Beginner
Git Going with Comparing  Branching and Merging,Jason Taylor,Comprehensive  step by step guide to Comparing  Branching  Merging and Rebasing in the Git source control system,4.4,332,2.5,37,Intermediate
Getting Started with PHP 7,Packt Publishing,Increase your productivity by learning the new features of PHP 7,4.2,332,4.0,48,Expert
The Machine Learning Certification Course,Marufa Yasmin,Learn and understand Machine Learning using this course  Get your certificate ,3.1,333,38.0,7,All Levels
Scared of Java Programming Try Step by Step Java for Testers,T World,Java for Software Testers   QA   Helpful Practice  Java for Automation Testing  Selenium Webdriver Appium  Rest Assured,4.4,331,13.0,134,All Levels
React Hooks Tutorial   Master React Hooks Development,David Joseph Katz,Master React Hooks the right way  Learn what they are  how they work under the hood  and why they re so revolutionary ,4.1,331,5.0,46,Intermediate
Learn Computer Vision and Image Processing in LabVIEW,Augmented Startups,Learn Computer Vision and Image Processing From Scratch in LabVIEW and build 9 Vision based Apps,4.2,331,4.0,32,All Levels
Multithreading and Parallel Programming in CHash,Engineer Spock,Overcome multithreading and asynchronous programming in CHash problems and improve performance by parallel computing in CHash,4.2,329,7.0,80,All Levels
Selenium  CHash and Everything in Between,Roei Sabag,Learn how to create a powerful cross site  cross browser and cross product dynamic automation tests using CHash,4.8,329,10.5,110,All Levels
Ionic 4 Crash Course with Heartstone API and Angular,Filip Jerga,Create hybrid app for Android  iOS and Browser with Ionic 4 and Angular 6  Use Ionic and Cordova to build native apps ,3.6,329,8.0,64,All Levels
Intro to Shopify Theme and Store Development with Liquid,Working With Shopify,Learn everything about Shopify Partner s Account  Theme Customization  and creating Sections and Templates using Liquid ,3.9,332,3.5,18,All Levels
Data Structure and Algorithms using CPlusPlus   Zero To Mastery 2020,Ankit Thakran  Harsh Kajla,Learn about Arrays  Recursion  DP   Linked Lists  Trees  HashMap  Stacks  Queues  Heaps  Sorting and Searching algorithms,4.5,330,59.0,240,All Levels
Step By Step Java Programming Complete Course,AKINCI Training,Have a strong background in Java programming language learn solutions of the most common problems be experienced in Java,4.5,328,12.5,212,All Levels
HTML CSS Bootstrap jQuery Website from Scratch to Production,Ryan Dhungel,Quickly Learn to code Responsive Websites using HTML CSS BOOTSTRAP JQUERY from SCRATCH  It s easier than you think ,3.9,328,5.0,66,Beginner
Wordpress Rest API and Ionic 4 Angular App With Auth,Baljeet Singh,Create an application with Wordpress and Ionic 4 with Authentication,4.0,328,2.0,25,All Levels
PostgreSQL Database Administration DBA for Beginners,Bluelime Learning Solutions,Learn Practical Database Administration,3.9,327,11.5,112,Beginner
OAuth 2 0 in Spring Boot Applications,Sergey Kargopolov,The New OAuth 2 0 Stack in Spring Security 5,4.6,327,10.0,167,All Levels
Certification Course For Web Design,Istiak Ahamed Sishir,Learn the fundamentals of web development in this course ,3.1,327,32.0,6,Beginner
Master HTML 5 from very beginner to Pro,Jahangeer Shah,The smart way to learn HTML 5 from basic to advanced level,4.1,327,4.0,30,Intermediate
Visualizing Data Structures and Algorithms in Java,Dinesh Varyani,Learn Arrays  LinkedList  Trees  Stacks  Queues  Heaps  Graphs  Tries  Dynamic Programming  Sorting and Search algorithms,4.4,326,22.0,221,All Levels
Python for New learners  Introduction to python programming,Adeel Ahmad,Learn basics of Python 3 programming  Start coding in Python 3  Be a Python Enthusiast  love Python   ,4.7,326,2.5,17,Beginner
Top Python and Javascript Programming Bundle,John Elder,Learn Python Programming and Javascript Coding From Beginner To Intermediate Fast  Become a Web Developer in no time ,4.6,326,4.0,55,Beginner
Practical Unix  Linux CommandsPlusShell scripting for Tester   ,T World,   Specially designed course for software testers   QA   Test Engineers     Shell Scripting  Practice Interview Question,4.6,326,12.5,138,All Levels
Create ASP Net Core Web API step by step for beginners,Pavol Almasi,Build database driven CRUD API with CHash  ASP  NET Core MVC and Entity Framework Core  Project based learning,4.5,326,10.0,131,All Levels
Build Real World App with Xamarin Forms,Asfend Yar Hamid,Learn Xamarin Forms Real World Application From Beginning to End,4.3,325,3.0,44,All Levels
Create a Twitter Social Network Clone From Scratch PHP MySQL,Aizaz dinho,Create or Build Twitter and Learn PHP  OOP and MySQL even Javascript by building your own PHP Social Networking Website,4.4,325,12.0,90,All Levels
QC051  Math Prerequisites for Quantum Computing,Kumaresan Ramanathan,Review of Basic Math prerequisites for Quantum Computing and Quantum Physics,4.5,325,4.0,114,Beginner
The Serverless Framework with Node js and AWS,Loren Stewart,Quickly Code and Deploy Serverless Functions,4.4,326,4.0,56,Intermediate
Complete Python 3 Programming Bootcamp  Beginner to Advanced,Code Star Academy  Oracle Master Training   80 000  Students Worldwide,Learn Python Programming from Beginner to Advanced Level  Go from Zero to Hero in Python with Hundreds of Examples ,4.4,325,20.0,94,All Levels
Learn By Example  CPlusPlus Programming   75 Solved Problems,Loony Corn,CPlusPlus will never seem intimidating again  once you re done with these examples ,4.6,324,16.0,87,All Levels
Unity 3D Course  No Coding  Build and Market Video Games Fast,Yohann Taieb  MindQuest Academy,No programing required how to build and market your game from scratch complete guide,2.5,324,5.0,68,All Levels
Become a Highly Paid JavaScript Developer in 2 Weeks,XEO Learning,Do you want to learn JavaScript and become a professional front end developer  Let s start speaking JavaScript today ,4.0,324,4.0,35,All Levels
Getting Started with Azure Functions,Packt Publishing,Utilize Serverless Architecture to Build Scalable Cloud System ,4.3,324,5.0,34,Intermediate
Species Distribution Models with GIS and Machine Learning in R,Minerva Singh,Mapping Habitat Suitability for Conservation Using Machine Learning and GIS in R,4.3,324,3.5,41,All Levels
Get Started With NodeJS    For Beginners 2020,Mohamed Ferchichi,Start NodeJS From Scratch,3.3,324,1.0,19,Beginner
Web Development Fundamentals  HTML5 and CSS3 for Beginners,Anshul Yadav,Learn HTML Plus CSS basics  And Jump Start Your Web Development Journey ,4.0,325,5.5,54,Beginner
HTML5  CSS3 and JavaScript Workshop  Build 7 Creative Projects,Filip Kordanovski,Learn real world web development and design skills to build up a website from scratch with 7 incredibly creative projects ,4.2,323,6.0,51,All Levels
Java for Beginners in 2 hours  Build a Banking Application,Abhay Redkar,Learn Java core concepts and build an application all in just 2 hours ,4.6,323,2.0,37,Beginner
Getting Started with React Hooks,Boris Paskhaver,Master React Hooks  the next evolution of the popular React library for building dynamic front end interfaces,4.7,324,3.5,26,All Levels
Complete PHP and MySql Course  From Beginner to Professional,Usman Raoof  Fahad Chaudhry,Only Course you need to learn Complete PHP and MySql and go from Beginner to Advanced in 7 Hours  Let s get Started ,3.8,323,6.5,90,All Levels
RF Microwave and Transmission Line Theory   RAHRF200,Rahsoft RF Certificate   Orange County  California,RF Microwave and transmission line theory with practical examples by calculation and Keysight ADS software rahsoft,4.6,322,8.0,46,Beginner
Jekyll  make fast  secure static sites and blogs with Jekyll,Jana Bergant,Do you want a clean  simple  fast and secure site or a blog and  host it free on Github  Jekyll is the best way to go ,4.4,322,2.5,31,Beginner
Learn ETL Testing With Informatica PowerCenter Today,The Startup Central Co   Tuhina Mehta,Learn ETL testing now  Step by step software testing with relevant exercises  Learn now and get your promotion ,4.0,321,2.0,13,Intermediate
Google Chrome Extension Development For You  2020 ,Tomas Mikula,The only course you need to learn basics of google chrome extension development and develop your own right away ,4.2,325,1.5,19,Beginner
Xamarin Android  Learn to Build Native Android Apps With CHash,Ufinix Academy  Uchenna Nnodim,Become a Xamarin Pro Android Developer with CHash  Includes Quiz App  Social App  Maps App  Firebase  Build Real World Apps,4.4,322,25.0,198,All Levels
The Complete HTML5 and CSS3 Course Build Professional Websites,Joe Parys  Shahzaib Kamal  Joe Parys Support,In This Complete Course Students Will Learn How to Use HTML5 and CSS3 to Build their own Beautiful Professional Websites,2.9,321,4.5,57,All Levels
Yocto Embedded Linux,Sergio Torres Soldado,with the Raspberry Pi,4.1,321,4.0,57,Intermediate
Clojure  The Complete Beginner s Guide,Catalin Stefan,Learn Clojure  a fun new functional programming language,4.0,322,4.0,39,All Levels
Making HTML5 Games with Phaser 3,William Clarkson,Rapid Game Development,4.3,320,4.5,161,Beginner
Angular   Concepts  Code and Collective Wisdom,Mark Rajcok,Learn the core concepts  play with the code  become a competent Angular developer,4.6,320,5.5,80,Intermediate
Subquery Magic  Write awesome SQL  Master T SQL Sub Queries,Kris Wenzel,Take the mystery out of subqueries and take your SQL to the next level  Use SQL Server and write data driven nested queries ,4.4,320,3.0,20,Beginner
Rust  Building Reusable Code with Rust from Scratch,Packt Publishing,Use generics  traits  and macros to write clean and reusable Rust libraries that are easy to understand and maintain,3.9,320,6.5,68,Intermediate
Learning Pivotal Cloud Foundry for Web Developers,Packt Publishing,Become proficient in deploying and managing applications on Cloud Foundry ,4.2,319,2.0,20,Intermediate
Git for Windows  Step By Step Mastery using Commands and GUI,Jason Taylor,Start from nothing and master the foundation of Git source control  GitHub service  graphical clients and related tools,4.4,321,8.0,129,All Levels
The Complete ASP Net Web Forms with ADO Net From Scratch,Manzoor Ahmed,Rapid Web Application Development Using Asp Net,4.4,319,9.5,61,All Levels
Windows Service Programming  Debugging  Installing in CHash Net,Naeem Akram,Create Windows Services on in CHash  Net and Visual Studio  Windows service debugging techniques,4.2,319,1.5,29,All Levels
Reinforcement Learning with Pytorch,Atamai AI Team,Learn to apply Reinforcement Learning and Artificial Intelligence algorithms using Python  Pytorch and OpenAI Gym,4.2,319,7.0,69,Beginner
Python from the beginning in Sinhala   Python             ,Praneeth Peiris,                                            programming           ,4.9,319,10.0,67,Beginner
C and CPlusPlus Programming   Step by Step Tutorial,DoEdu IT Educations,C Programming and CPlusPlus Programming Learn both at your own pace,4.4,319,12.0,142,Beginner
What is Data Science ,Sai Acuity Institute of Learning Pvt Ltd Enabling Learning Through Insight ,Build your mathematics and statistics foundations strongly and ensure your Data science fundamentals are in place ,3.6,318,4.5,8,All Levels
Learn R By Intensive Practice,Selva Prabhakaran,Gain clear understanding of base R programming concepts and internalise through a lot of practice,4.4,318,6.0,47,Beginner
Instant Test Driven Development with Java  JUnit and Mockito,Ashley Frieze,Go from Zero to Hero with Java  JUnit and clean  tested code ,4.1,318,4.0,49,All Levels
Qt Quick and QML   Intermediate Qt 5   Interfacing to CPlusPlus,Daniel Gakwaya,Connect Your  Fluid and Dynamic Qt Quick QML  User Interface to a Powerful CPlusPlus Back End,4.7,319,5.5,35,Intermediate
Introduction to VR with Unity,Fred Moreau,Create an immersive Virtual Reality experience on iPhone Android Cardboard or VR Device with Unity ,4.2,319,7.5,108,Beginner
SAP ABAP on HANA PlusHANA Modelling for Beginners with Hands On,Vishal Saxena,Best Course to Learn SAP ABAP on HANA Plus HANA Modelling in an easy Step by Step manner with Practical Examples,4.5,318,3.5,11,All Levels
Oracle Performance Tuning,Amit Arora,This tutorial will provide a good foundation of Oracle performance tuning along with handy tips for issue resolution ,3.8,318,3.0,19,Intermediate
Godot Game Engine   The Complete Course,Suspendee Studios,Learn to make games in the Godot Game Engine and become a game developer ,2.8,317,6.0,43,All Levels
Build Web Apps Using EmberJS  The Complete Course,Eduonix Learning Solutions  Eduonix Tech  ,Learn to develop web apps using Ember JS,4.2,317,4.5,32,All Levels
The Essential Kotlin Programming Course Android Developers,Jason Fedin,A deep dive exploring the Kotlin Programming Language,4.1,317,23.0,133,All Levels
MATLAB App Designing  The ultimate Guide for MATLAB Apps,Nouman Azam,MATLAB tutorial for making apps in MATLAB using the GUIDE and App Designer utilities  Codes Included ,4.7,317,7.0,69,All Levels
The Complete GitHub Actions and Workflows Guide,Ali Alaa,Automate Code Testing  Deployment and Versioning using CI CD Workflows  Create and Publish GitHub Actions to the Marketplace,4.6,319,8.0,62,Intermediate
Learn Python Fast and Easy Way,UI5 Community Network,In this course we will cover the basics of Python Language  it s syntax and fundamentals with Jupyter Notebook,4.4,316,3.5,25,Beginner
CPlusPlus in 1 hour,John Bura,Most of John Bura s courses are on sale for 9 dollars  https   www udemy com u johnbura  Sale ends Oct 31 2013  Act now ,4.1,316,1.0,23,Beginner
The Perfect Nginx Server   Ubuntu Edition,Andrew Eaton,The Absolute Beginners Course to Setting Up Multiple Blazingly Fast WordPress Sites Using Nginx and Ubuntu 20 04,4.7,318,10.0,99,Beginner
Build An API With The Django Rest Framework Using Python,John Elder,Use Python and Django To Create Your Own API In No Time With The Django Rest Framework ,4.3,316,1.5,22,Beginner
Python Desktop Application Development with PyQt,Mahmoud Ahmed,A Z To Create a Powerful Desktop Applications Using Python And Qt Framwork From Scratch To Developing Your Projects,3.6,316,7.0,82,All Levels
