Instructor,User_vote,Total_hours,Lecture,Level,Rating
Minerva Singh,663,4.0,50,All Levels,4.1
Tod Vachev,662,4.0,46,Beginner,4.5
3D BUZZ Programming and Digital Art training,661,14.0,34,All Levels,3.9
Tejasvi Hegde,661,5.5,39,All Levels,3.8
Sandeep Kumar,665,9.5,92,All Levels,4.4
Ray Viljoen,662,6.0,46,All Levels,4.5
Sam Atkinson,662,1.0,22,Intermediate,4.2
Julia Mariasova,659,3.5,80,Beginner,4.4
Mohamed Adel,658,7.0,47,All Levels,3.9
Murtez Alrohani,658,2.5,45,Intermediate,4.5
Kasun Liyanage,653,11.0,83,All Levels,4.3
Hemil Patel,654,8.5,88,All Levels,4.6
Brad Traversy,656,6.0,59,All Levels,4.7
Nick Walter,651,4.0,100,Beginner,4.4
Nick Walter,654,6.0,47,Beginner,4.6
Asif Raza,650,2.0,33,All Levels,3.8
Joe Parys  Ashutosh Pawar  Joe Parys Support,650,3.5,20,Expert,4.4
Kurt Anderson,657,8.5,93,All Levels,4.5
Meisam Mansourzadeh  Joe Parys,648,39.5,116,All Levels,4.1
Code And Create  George Lomidze  Lasha Nozadze,644,10.0,64,All Levels,4.7
YouAccel Training,645,4.0,84,Beginner,4.5
Paul Ashun,640,1.0,36,All Levels,3.8
Frahaan Hussain,640,4.5,64,Beginner,4.5
Kris Wenzel,640,3.5,39,All Levels,4.3
Samuel Hinton  SuperDataScience Team,650,9.0,57,Beginner,4.6
Jazeb Akram,638,5.5,61,All Levels,4.3
Creative Online School,637,1.5,25,All Levels,4.3
Jeff Sharman,637,3.0,30,All Levels,4.5
Penny de Byl  Penny  Holistic3D com,637,9.0,37,Beginner,4.7
Loony Corn,635,13.5,73,All Levels,4.7
Nelson Jamal,635,6.5,75,Expert,4.4
Arman Eker,633,9.0,116,All Levels,3.6
Abhijan Guha,633,2.5,36,Beginner,4.1
Denis Panjuta  Jannis Seemann  Tutorials eu by Denis Panjuta,635,27.5,278,All Levels,4.6
Jonathan Weinberger  Unity Technologies,633,12.5,189,All Levels,4.4
Smartherd Developers,633,3.5,27,Beginner,3.8
Richard Stibbard,630,12.0,136,All Levels,4.7
Crypters Infotech,630,4.5,43,All Levels,4.6
Eduonix Learning Solutions  Eduonix Tech    Eduonix Support,630,6.5,40,Beginner,4.1
Packt Publishing,628,5.5,46,Intermediate,4.6
Brian Advent,626,4.0,41,Intermediate,4.3
Edwin M Sarmiento,625,13.0,32,Expert,4.4
John Thompson,623,6.0,63,Intermediate,4.2
Infinite Skills,623,12.0,109,All Levels,4.3
Laurence Svekis,623,1.5,21,Beginner,3.8
Karthik KK,623,8.5,65,All Levels,4.6
Kevin Kennedy,621,2.0,37,Beginner,4.7
Hadelin de Ponteves  SuperDataScience Team,623,9.5,63,Beginner,4.5
Packt Publishing,619,15.0,109,Expert,3.7
Minerva Singh,620,5.0,56,All Levels,4.6
Coding Revolution,618,22.5,172,All Levels,4.5
Joey Blue,617,13.5,56,Beginner,4.2
Yogesh Patel,617,10.0,87,All Levels,4.5
Engineering Mentor  Pratibha B ,616,6.5,60,All Levels,4.3
Ganesh Velrajan,616,2.0,17,All Levels,4.5
Filip Kordanovski,615,7.0,55,All Levels,4.4
Mari n Ko   l,615,30.0,17,All Levels,3.9
Siddharth Mehta,616,30.5,295,All Levels,4.4
Amit Rana,615,3.5,36,Beginner,4.3
Kotaa Krishna Kamath,613,1.5,13,Intermediate,3.9
365 Careers,613,3.5,46,All Levels,4.2
Dmytro Danylov,618,17.5,117,Intermediate,4.3
Minerva Singh,612,8.5,81,All Levels,4.0
Loony Corn,610,15.5,87,All Levels,4.0
Dr  Ryan Ahmed  Ph D   MBA  Mitchell Bouchard  SuperDataScience Team,611,11.5,82,Intermediate,4.3
Reed Barger,609,9.5,90,All Levels,4.4
Infinite Skills,607,5.0,59,All Levels,3.8
Stephane Maarek   AWS Certified Solutions Architect   Developer Associate  Paulo Dichone   Android  Java  Flutter Developer and Teacher,620,11.0,97,All Levels,4.5
EdYoda Digital University,610,1.5,11,Beginner,3.9
John Harper,610,39.5,389,All Levels,4.6
SDE OCTOPUS by Ahmed I,612,3.5,73,Beginner,4.0
Syed Mohiuddin,606,34.5,258,All Levels,4.3
Start Tech Academy,605,13.0,97,All Levels,4.0
Compaq learning,603,6.5,115,All Levels,4.4
Lazy Programmer Inc ,617,8.5,50,Expert,4.6
Shubham Saurav,606,3.5,43,All Levels,4.0
Kim Chen,608,5.0,105,Beginner,4.0
Upskill Courses,603,6.5,64,All Levels,3.4
Codestars by Rob Percival  Jose Salvatierra  Teclado by Jose Salvatierra,602,13.5,153,Intermediate,4.6
Eding Muhamad Saprudin,601,12.0,101,Beginner,4.2
Learn Tech Plus,601,3.5,58,All Levels,3.7
Framework Television Inc ,598,5.0,83,All Levels,4.5
Holczer Balazs,598,7.5,72,All Levels,4.6
Is Bel  ,598,4.0,87,Beginner,4.5
Simo Edwin,602,13.0,77,Beginner,4.7
Mark Wahlbeck  Devslopes by Mark Wahlbeck,597,8.5,53,Intermediate,4.4
Tim Buchalka s Learn Programming Academy  Dr  Frank Mitropoulos,599,7.5,63,Intermediate,4.5
Stone River eLearning,596,53.5,504,All Levels,4.3
Arun Ammasai,596,5.5,34,All Levels,3.6
Bluelime Learning Solutions,595,22.0,235,Beginner,4.3
Andrei Dumitrescu  Crystal Mind Academy,599,26.0,357,All Levels,4.7
Nathan Stocks,599,3.0,35,All Levels,4.6
Dmitry Shyshkin,593,4.5,51,Intermediate,4.5
Learnsector LLP,597,7.0,36,Intermediate,4.1
AJ McKay,589,7.0,55,All Levels,4.4
Anushka Madusanka,593,6.5,96,All Levels,4.3
Prashant Kumar Pandey  Learning Journal,589,7.0,62,All Levels,4.5
Terry Ogbemudia Osayawe,588,8.0,56,All Levels,3.8
Sameh Nassar,587,14.5,98,Beginner,4.4
Bob Lee,587,17.5,84,Intermediate,4.3
Infinite Skills,586,5.5,71,All Levels,4.2
Michael Assadi,586,6.0,76,All Levels,4.1
Jose Salvatierra  Teclado by Jose Salvatierra,588,12.5,133,Expert,4.4
Fred Baptiste,585,20.5,80,Intermediate,4.9
Vinoth Parthasarathy,582,6.0,16,All Levels,4.8
Joe Parys  Atil Samancioglu  Joe Parys Support,582,22.5,243,All Levels,3.9
Dmitri Nesteruk,583,8.5,113,Intermediate,4.4
Dan Wahlin,582,6.0,61,All Levels,4.3
Hussein Nasser,580,4.0,29,All Levels,4.0
Jasvinder Singh Bhatia,581,6.0,53,All Levels,3.7
Richard Wells,579,2.5,19,Beginner,4.2
Tharun Shiv,578,9.5,98,All Levels,4.4
Mammoth Interactive  John Bura,577,78.5,236,Beginner,4.3
EdYoda Digital University  Qaifi Khan,578,4.0,17,Beginner,4.1
Start Tech Academy,578,11.0,74,All Levels,4.4
Mark Wahlbeck  Devslopes by Mark Wahlbeck,577,19.5,132,Beginner,3.8
Michael Doyon,577,8.0,51,Beginner,4.1
Mosh Hamedani,576,1.5,15,Intermediate,4.6
Data Hawk Tech,576,3.0,39,All Levels,4.2
Tim Buchalka s Learn Programming Academy  Graeme Browning,579,11.5,78,All Levels,4.4
Nick Walter,575,12.0,94,Beginner,4.8
Jordan Hudgens,575,19.0,120,Intermediate,4.7
Cinnamon TechX,574,70.5,620,All Levels,4.5
Saira Sadiq,573,6.0,136,Beginner,4.7
JuanD MeGon  ProgramarYa By JuanDMeGon,575,4.0,62,All Levels,4.4
Dr  Mostafa Saad Ibrahim,571,31.5,355,All Levels,4.8
Andrew Williams,575,6.5,65,All Levels,4.6
Eding Muhamad Saprudin,574,30.5,227,All Levels,4.3
Dr  Chris Mall   25 000  Students Worldwide,572,9.5,63,Beginner,4.4
Steve Dougherty,572,3.5,42,All Levels,4.2
Deepali Srivastava,571,10.5,147,All Levels,3.2
Jonathan Weinberger  Unity Technologies,571,11.5,131,Intermediate,4.3
Chris Parent,570,4.5,42,Intermediate,4.3
Andrew Vega,569,7.0,81,Intermediate,4.3
Wilmer Lin,570,10.0,101,Intermediate,4.5
Fatah Gabrial,569,2.0,35,All Levels,4.1
StudyEasy Organisation  Chaand Sheikh,569,12.0,124,Beginner,4.0
Laurence Svekis,570,22.0,293,All Levels,4.6
Miltiadis Saratzidis,567,2.0,45,Beginner,4.1
Darragh O Neill,570,31.5,255,All Levels,4.6
Ian Schoonover,567,19.0,183,Intermediate,4.4
Trevoir Williams,568,19.0,71,All Levels,4.3
Trevor Page,566,3.0,15,Intermediate,4.4
Ben Emson,564,2.5,28,Beginner,4.0
Anand Mahajan,564,16.0,136,Beginner,4.0
QAEversity  ,564,8.0,49,All Levels,4.4
Binary Brain,563,1.0,11,All Levels,4.3
Nick Janetakis  Docker Captain Program,562,5.0,51,Beginner,4.6
Ashutosh Pawar,563,22.0,229,All Levels,4.4
Jason Taylor,561,4.5,46,All Levels,4.4
Ryan Bonhardt,561,11.0,80,All Levels,4.1
Ankit Mistry  Data Science   Machine Learning Academy,561,17.0,150,All Levels,4.3
Guilherme Oliveira,561,8.5,84,All Levels,4.5
Charlie Chiarelli,560,31.0,188,Intermediate,4.6
Guy Stevens,560,5.0,28,All Levels,4.6
Stefan Thorpe  Samy Mkacher,560,2.0,27,Beginner,3.7
Huw Collingbourne,559,7.5,126,Beginner,4.6
Hussein Nasser,574,13.0,60,Intermediate,4.7
Ashutosh Pawar,558,16.5,162,Beginner,4.5
Laurence Svekis,557,16.5,207,Beginner,4.4
GameDev tv Team  Ben Tristem  Sam Pattuzzi,556,17.0,82,Intermediate,4.7
A to Z Mentors,557,6.0,62,All Levels,4.5
Fast   Easy Programming,553,9.0,71,All Levels,3.7
Dorota Pawlak,553,2.5,42,Beginner,4.5
Matthias Kentzia,553,2.5,23,All Levels,3.9
Mammoth Interactive  John Bura,554,121.0,340,Beginner,4.2
Eduonix Learning Solutions  Eduonix Tech  ,551,2.5,10,All Levels,4.0
David Joseph Katz,552,8.5,86,All Levels,4.1
Tevfik Ufuk DEM RBA ,552,11.0,87,Intermediate,4.6
Augmented Startups,549,2.0,16,All Levels,3.8
Eduonix Learning Solutions  Eduonix Tech  ,548,9.5,42,All Levels,4.3
Tim Buchalka s Learn Programming Academy  Jason Fedin,548,24.0,157,Intermediate,4.5
Packt Publishing,548,4.5,40,All Levels,4.1
Fatah Gabrial,547,2.5,50,All Levels,4.3
Ashutosh Pawar,545,18.0,152,All Levels,4.4
Up Degree,546,4.0,40,All Levels,3.6
Nick Walter  Mark Wahlbeck,544,24.0,143,Intermediate,3.6
Akhmed Idigov,544,44.5,329,Beginner,4.4
Stephen DeStefano,545,15.0,109,Intermediate,4.2
DigiFisk  Programming is fun ,543,15.0,113,Beginner,4.3
Robert Bunch,543,13.0,60,All Levels,4.5
Jason Brown,544,8.5,126,All Levels,4.7
Milan Yadav,546,3.5,46,Beginner,4.4
Martin Jocqueviel  SuperDataScience Team,543,5.5,37,All Levels,4.1
Angular University,539,7.5,107,All Levels,4.5
Stephen Ulibarri,542,31.5,120,All Levels,4.5
Mentors Net,538,11.0,91,All Levels,4.1
Deepika Khanna,536,6.5,60,All Levels,4.3
Packt Publishing,536,4.0,37,Beginner,3.7
Huw Collingbourne,535,7.0,44,All Levels,4.4
Le Deng,534,20.5,89,All Levels,3.8
Shakil khan,535,10.0,56,All Levels,4.2
John Elder,534,2.0,35,Beginner,4.4
Edwin Diaz  Coding Faculty Solutions,532,3.0,31,All Levels,4.5
Jordan Hudgens,532,19.0,146,Beginner,4.6
Abd Alwahab,531,35.5,274,All Levels,4.4
MD TAFSIRUL HAQUE DANISH,531,7.0,83,All Levels,4.8
Gustavo Pezzi  Pikuma  com,531,11.5,69,Beginner,4.7
Bryson Payne,533,12.0,115,Beginner,4.2
Laxmi Kant,533,22.0,225,All Levels,4.5
Framework Television Inc ,529,5.5,61,Intermediate,4.2
Eduonix Learning Solutions  Eduonix Tech    Samy Eduonix,529,15.5,66,All Levels,4.2
Andrei Neagoie  Adam Odziemkowski,528,13.0,171,All Levels,4.6
Loony Corn,528,11.5,63,All Levels,3.9
Vijay Gadhave,528,6.5,51,All Levels,4.3
Dave Hollingworth,527,5.0,106,All Levels,4.6
Penny de Byl  Penny  Holistic3D com,527,8.0,68,Beginner,4.6
YouAccel Training,530,3.5,58,Beginner,4.3
Paul McGrath  Chris Gregan,527,8.0,43,Beginner,4.7
Gergely Kalapos,528,6.5,38,Intermediate,4.3
GameDev tv Team  Rick Davidson  Nathan Farrer  aka Dapper Dino ,526,11.0,51,Intermediate,4.6
Code Monkey,526,10.0,58,Beginner,4.7
Mihai Morosanu,525,8.5,118,Beginner,3.8
Alexander Oni,528,5.5,59,All Levels,4.5
James Doyle,525,14.0,108,All Levels,4.7
YouAccel Training,526,1.0,20,Beginner,4.2
Spencer Carli,525,3.5,62,All Levels,3.8
Khaled Alkhudari,528,9.5,85,Expert,4.5
A O,524,13.0,86,All Levels,4.5
Vivek Ramesh  Gary Simon,524,16.5,110,All Levels,4.0
Irfan Elahi,524,11.0,87,Beginner,3.4
Kameswara Sarma Uppuluri,523,8.5,119,All Levels,4.3
Edwin Diaz,522,2.5,16,All Levels,4.5
Raphael Asghar,522,5.5,29,Beginner,4.6
Evans Boateng Owusu,521,5.0,48,Beginner,3.9
Zakaria Chowdhury,521,1.0,11,Beginner,4.4
Reece Kenney,521,18.5,194,All Levels,4.8
Patrick God,523,5.0,79,All Levels,4.5
EdYoda Digital University  Qaifi Khan,520,1.5,16,Intermediate,4.2
John Elder,521,2.0,25,Beginner,4.6
Mahmoud Ali,521,9.0,272,All Levels,4.2
Imtiaz Ahmad,519,7.0,31,All Levels,4.5
Qadar Khan,519,5.0,49,Beginner,3.7
StackSimplify   Kalyan Reddy,523,18.5,168,All Levels,4.5
Ram Prasad,518,2.5,63,Beginner,4.3
Irfan Elahi,518,12.0,73,All Levels,3.8
Eduonix Learning Solutions  Eduonix Tech    Samy Eduonix,518,9.0,59,Intermediate,4.1
Avetis Ghukasyan,517,3.5,28,Beginner,4.5
Packt Publishing,517,6.0,37,Expert,4.3
TetraNoodle Team  Manuj Aggarwal,516,3.5,42,All Levels,3.7
Avinash Jain  TheCodex,516,9.0,96,All Levels,4.7
Packt Publishing,516,20.0,56,Expert,4.1
Revanth Sodavaram Muni,516,3.0,35,Beginner,4.1
OnlyKiosk Tech,516,18.0,289,All Levels,4.8
Tom Phillips,515,2.0,29,All Levels,4.6
Brandon Gogetap,514,8.0,90,Intermediate,4.6
Michal Juhas,513,5.0,79,Expert,3.6
R Tutorials Training,512,6.5,64,All Levels,4.3
Mark Farragher,512,3.0,28,All Levels,4.5
Engineer Spock,511,4.5,93,Intermediate,4.1
Patrick God,512,3.5,50,Intermediate,4.2
DevOps Training  CJ Rivas  Tao W   James Lee,512,4.0,66,All Levels,4.3
Gabriel Aguiar,512,7.0,61,Beginner,4.5
Houssem Dellai,511,1.0,25,Beginner,4.1
Aaron Caines,509,72.5,280,All Levels,4.4
M Darwish,511,30.5,164,All Levels,3.9
Pablo Tilotta    100k students  Cursea me Online,509,10.0,60,All Levels,3.9
Bluelime Learning Solutions,508,34.5,346,Beginner,4.1
Jonathan Ng,509,5.5,42,Beginner,4.5
Rajarshi Das,507,3.5,23,Beginner,3.0
Sandeep Kumar,507,5.5,45,Intermediate,4.2
Kumaresan Ramanathan,508,2.0,26,Beginner,4.2
Dmitri Nesteruk,508,3.0,44,Beginner,4.4
Sorin Constantin  Merul Dhiman,507,1.0,13,Beginner,3.8
Jonas Fagerberg,506,25.5,239,Intermediate,4.7
Fettah Ben,507,4.5,52,Beginner,4.2
Raphael Asghar,505,7.5,41,Beginner,4.4
Federico Le n,508,20.5,48,All Levels,4.5
Brad Hussey  Code College,504,3.0,28,All Levels,4.7
Frahaan Hussain,504,10.0,125,All Levels,4.4
Dr  Junaid Qazi  PhD,504,25.0,111,All Levels,4.7
Krystian Czekalski,504,20.5,131,Beginner,4.4
Dr  Steven L  Fernandes  Ph D   Ramesh Nayak,501,4.5,42,Beginner,4.1
Raghav Pal,501,10.0,56,All Levels,4.5
Simon Sez IT,501,2.0,18,All Levels,4.4
Kashif Altaf,502,18.0,211,All Levels,4.3
Chandra Lingam,500,3.5,66,All Levels,4.5
Nick Walter,500,6.0,40,All Levels,4.5
Kalob Taulien,500,10.0,104,Beginner,4.4
Laurence Svekis,499,51.5,697,All Levels,4.5
Mohammad El Haj,499,14.0,150,All Levels,4.4
Nick Walter,498,10.5,150,All Levels,4.7
Alperen Talasl o lu,499,1.0,15,All Levels,4.3
Infinite Skills,497,9.5,93,All Levels,4.1
R Tutorials Training,497,3.5,34,Intermediate,4.1
EDU CBA,496,4.0,36,Beginner,3.0
Hussein Alrubaye,495,3.0,34,Beginner,4.1
Lazy Programmer Team  Lazy Programmer Inc ,495,22.5,140,All Levels,4.7
Mahmoud Matouk,494,2.0,16,Intermediate,4.4
Aaron Craig,496,7.0,58,Beginner,4.4
DoEdu IT Educations,493,25.5,307,All Levels,3.9
Shubham Sarda,494,16.5,187,All Levels,4.4
Michael Miller,497,13.5,71,Intermediate,4.7
Arunachala Damodar,493,2.5,37,Beginner,4.4
Dmitri Nesteruk,497,4.5,40,Beginner,4.5
Frahaan Hussain,492,5.0,70,All Levels,3.9
Laurence Svekis,492,4.5,67,Intermediate,4.3
Tod Vachev,493,3.0,43,Intermediate,4.5
Stephane Maarek   AWS Certified Solutions Architect   Developer Associate  Gerd Koenig,487,8.5,67,Beginner,4.5
Awesome Tuts,491,20.5,92,Beginner,4.6
Fatah Gabrial,491,1.0,17,All Levels,4.2
Abhishek Rathi,493,8.0,106,All Levels,4.5
Edwin Diaz  Coding Faculty Solutions,491,1.5,16,Intermediate,4.1
Ali Alaa,491,18.0,126,Intermediate,4.5
DoEdu IT Educations,490,5.0,59,Beginner,4.3
Riaan Nel,491,1.5,21,All Levels,4.4
Tim Sch tz,488,1.5,31,Intermediate,3.9
Valentyn Sichkar,491,7.0,58,Intermediate,4.4
Infinite Skills,488,10.0,108,All Levels,4.6
Sriyank Siddhartha,487,17.5,141,All Levels,3.7
Patrick Schroeder,486,4.5,42,Intermediate,4.1
Diptam Paul,485,44.0,6,All Levels,4.1
Deepali Srivastava,485,10.5,131,All Levels,4.4
Noa Calice  aka Blackthornprod ,485,3.0,31,Intermediate,4.5
Hara Gopal,483,5.5,61,Beginner,4.5
Juan E  Galvan  Ismail Tigrek,482,28.5,80,All Levels,4.5
ExcelR Solutions,482,33.0,181,All Levels,4.2
One Month,481,5.0,75,Intermediate,4.3
Binary Brain,481,1.5,12,All Levels,3.8
Tim Buchalka s Learn Programming Academy  Volkan At  ,483,13.5,87,Intermediate,4.3
Matt Greencroft  Virtual Pair Programmers,482,8.0,86,Intermediate,4.6
Testing World Infotech,481,16.0,166,Intermediate,4.4
Catalin Stefan,480,3.0,29,All Levels,4.6
DoEdu IT Educations,480,7.5,84,All Levels,3.9
Murad Elarbi,481,12.5,57,Beginner,4.6
Nick Walter,478,16.5,143,Beginner,4.7
Roman Granskyy,478,13.5,135,Intermediate,3.9
Dr  Ryan Ahmed  Ph D   MBA  SuperDataScience Team  Mitchell Bouchard,480,12.0,84,All Levels,4.5
Indie   Pixel,478,20.5,149,Beginner,4.4
Wilmer Lin,477,5.5,39,Intermediate,4.6
James Cutajar,477,6.0,83,All Levels,4.6
Akhmed Idigov,477,19.0,117,Beginner,4.9
Packt Publishing,477,4.5,26,Expert,3.9
Vladimir Romanov,477,7.0,35,All Levels,4.3
Mark Farragher,476,4.0,22,All Levels,4.5
Ocho Tech,477,1.5,20,Beginner,4.2
Stone River eLearning,476,2.0,26,Beginner,2.7
Up Degree,476,32.0,261,All Levels,4.5
David McDonald,476,4.0,40,Beginner,4.2
react school  ,475,4.0,41,All Levels,4.1
Karthik KK,476,7.0,47,All Levels,4.1
Kameswara Sarma Uppuluri,477,8.5,77,All Levels,4.3
Engineer Spock,476,15.5,137,All Levels,3.8
Tim Buchalka s Learn Programming Academy  Volkan At  ,474,19.0,118,Intermediate,4.2
Dmitri Nesteruk,474,10.0,103,Intermediate,4.3
Khan School,473,28.5,141,Intermediate,3.6
Brad Hussey,473,3.5,18,All Levels,4.7
Srinivas Vanamala,473,9.0,102,Intermediate,4.3
Gregory  Mad Pink  Miller,471,7.0,53,All Levels,4.6
Sriyank Siddhartha,471,6.5,59,All Levels,4.7
Mike West,471,2.5,108,Beginner,3.8
Minerva Singh,470,7.5,61,All Levels,4.2
Trevoir Williams,470,17.0,86,All Levels,4.5
Simon Sez IT,468,1.5,15,Intermediate,4.1
Alex V,468,27.0,327,Intermediate,4.7
Tom Phillips,470,3.5,43,All Levels,4.3
Marcelo Xavier Vieira,467,10.0,74,Intermediate,4.3
Christopher Michael,466,3.5,31,All Levels,4.2
Engineer Spock,467,7.5,94,Beginner,4.0
Manzoor Ahmed,465,5.5,32,All Levels,4.6
ClayDesk E learning  Syed Raza  Syed Ali,465,2.0,21,All Levels,3.6
Euan   JavaScript Programming,466,3.5,40,All Levels,4.1
Raphael Asghar,464,6.5,35,Beginner,4.3
Reed Barger,464,10.0,82,All Levels,4.0
Mashrur Hossain  Emmanuel Asante,463,15.0,145,All Levels,4.0
Reece Kenney,463,11.5,141,All Levels,4.7
Frahaan Hussain,463,5.5,106,All Levels,3.4
Morteza Kordi,463,18.5,123,All Levels,4.0
Stone River eLearning,463,2.0,16,Beginner,4.1
Bluelime Learning Solutions,464,17.5,179,Beginner,4.0
Code And Create  George Lomidze  Lasha Nozadze,464,11.5,89,All Levels,4.4
Philip Ritmeester  Deviac Education,463,18.5,192,Beginner,4.4
Loony Corn,462,5.0,43,All Levels,3.8
Arash Yahya,461,8.5,70,All Levels,3.9
Laurence Svekis,460,1.0,19,Beginner,3.9
Stone River eLearning,460,4.5,30,Beginner,3.8
Marufa Yasmin,461,39.0,9,All Levels,2.0
Sweet Codey,460,2.5,13,All Levels,4.4
R Tutorials Training,460,3.0,38,Expert,4.0
Le Deng,459,8.0,48,All Levels,4.0
Raghav Pal,458,5.0,23,All Levels,3.9
Aref K ,461,4.5,37,All Levels,4.5
Shibaji Paul,460,15.5,125,All Levels,4.5
Kashish Gakkar,457,14.5,177,All Levels,4.2
Andrei Neagoie  Yihua Zhang,460,36.0,282,Intermediate,4.8
Jason Taylor,456,2.0,52,Beginner,3.9
Bogdan Stashchuk,456,2.0,46,All Levels,4.4
Israel Gbati  PyTribe  ,457,12.5,151,All Levels,4.4
Greg Wondra,454,26.5,161,All Levels,4.7
John Elder,454,4.0,41,Beginner,4.6
Kazi Nasrat Ali,453,4.0,35,Beginner,4.4
Houssem Dellai,455,4.0,40,Beginner,4.3
FutureX Skill,454,4.0,57,All Levels,4.2
Supriyo Kundu,453,43.0,361,All Levels,4.7
Cassidy Williams,453,3.5,64,Intermediate,4.2
Srinivas Vanamala,452,17.5,202,Beginner,4.5
Packt Publishing,452,13.0,73,Intermediate,4.1
Mohammad Tahir Ahmed,454,116.5,527,All Levels,4.4
Cloudops Academy,453,12.0,160,All Levels,3.8
Tuna Tore   AWS Solutions Architect,449,13.5,70,All Levels,4.1
Aref K ,449,7.0,41,All Levels,3.9
Yohann Taieb,449,2.5,43,Beginner,4.4
EDU CBA,449,10.0,75,Intermediate,4.2
Nathan Glover  Rico Beti,448,5.5,58,Beginner,4.5
Infinite Skills,448,9.5,101,All Levels,3.8
Kameswara Sarma Uppuluri,447,16.0,116,All Levels,3.7
Mammoth Interactive  John Bura,447,8.5,89,Beginner,4.0
Jana Bergant,446,7.5,82,All Levels,4.2
Catalin Stefan,447,5.0,70,All Levels,4.6
Mostafa Bigdeli  Milad Ahmadi,447,15.0,164,All Levels,4.3
QAEversity  ,445,1.5,19,Intermediate,3.4
Stone River eLearning,445,6.0,60,All Levels,3.9
Rajandeep Singh,446,5.5,47,All Levels,4.3
Dick Wall,444,5.0,118,Beginner,4.7
Odoo Class Videos,444,13.0,64,All Levels,4.2
Jana Bergant,444,10.0,109,Intermediate,4.5
Andrei Dumitrescu  Crystal Mind Academy,445,9.5,104,All Levels,4.4
Packt Publishing,444,6.0,47,Beginner,3.9
Coding Revolution,443,30.0,232,Beginner,4.5
Fatah Gabrial,442,2.0,50,All Levels,3.9
Pablo Farias Navarro  Zenva Academy,441,2.0,27,Beginner,4.0
Syed Mohiuddin,441,10.5,129,Beginner,4.5
Daniel Strong,441,3.5,47,All Levels,4.4
Yogesh Patel,441,9.0,53,All Levels,3.9
Tim Short,441,2.5,34,All Levels,4.3
easy Learning  Kazi Ariyan,439,72.0,319,All Levels,4.3
Tim Buchalka s Learn Programming Academy  Goran Lochert,440,58.0,302,All Levels,4.3
Gopal Shangari,440,30.0,181,All Levels,4.0
Ray Viljoen,440,2.5,23,All Levels,4.8
Sameh Sharaf,440,11.0,124,Beginner,4.8
Luciano Molinari,439,15.0,86,Intermediate,3.9
Mehdi Haghgoo,438,21.0,122,All Levels,4.3
Bluelime Learning Solutions,438,8.0,78,Beginner,4.1
Paul Ashun,438,1.5,43,All Levels,4.5
Fatah Gabrial,438,4.5,85,All Levels,4.3
Abdi Ahmed,439,2.5,43,Intermediate,4.3
Nick Walter,439,5.0,38,All Levels,4.5
Dhhyey Desai,438,4.5,27,Beginner,3.8
Uzochukwu Eddie Odozi  Suppoman  ,437,12.5,61,All Levels,4.1
IT Skills In Demand,437,4.0,51,All Levels,4.0
Ryan Dhungel,435,15.0,207,Beginner,4.1
Dmitri Nesteruk,435,3.5,33,Intermediate,4.5
Stefan Hyltoft,440,3.0,62,Beginner,4.3
Steven Hancock,434,16.0,93,Intermediate,4.5
Loony Corn,434,4.0,35,All Levels,4.5
Leon Petrou,434,10.0,108,All Levels,4.7
Michael Hu,434,8.5,42,Beginner,4.1
Richard Vannoy II,432,6.0,21,Beginner,4.3
Arfan Khan,432,3.0,29,All Levels,3.9
Laurence Svekis,432,1.0,16,Beginner,4.4
Chad Darby  Harinath Kuntamukkala,433,3.5,42,Intermediate,4.7
Hubert  yczek,430,16.0,132,All Levels,4.2
Fatah Gabrial,430,3.0,65,All Levels,4.1
Ermin Kreponic,427,20.0,128,Beginner,4.4
Maksym V,427,7.0,46,Beginner,3.8
DATAhill Solutions Srinivas Reddy,427,4.0,6,All Levels,4.2
Holczer Balazs,427,5.0,55,All Levels,4.5
Packt Publishing,426,4.0,36,Expert,4.3
V2 Maestros  LLC,425,8.0,59,Beginner,4.3
Juan Lizarazo  Reynaldo Pena,425,6.0,86,Beginner,4.3
Morteza Kordi,424,60.0,277,All Levels,4.1
Ankit Mistry  Data Science   Machine Learning Academy,424,15.5,153,All Levels,4.5
Huw Collingbourne,423,12.0,38,Expert,4.3
Stone River eLearning,423,60.0,454,All Levels,4.2
Alfa e Learning,429,3.5,47,All Levels,4.1
Pontus Wittenmark,423,4.5,30,Beginner,4.6
EDUmobile Academy,423,31.0,7,All Levels,4.6
Attreya Bhatt,422,42.0,14,All Levels,4.0
Fatah Gabrial,424,1.5,26,All Levels,3.7
Bruce E  Hilton,421,5.0,50,Intermediate,3.9
Kalob Taulien,425,43.0,22,Beginner,4.5
CARLOS QUIROS,421,12.0,66,Intermediate,3.8
Abhijeet Soni,422,15.0,137,All Levels,4.3
Awesome Tuts,420,30.0,108,Beginner,3.9
Packt Publishing,420,6.0,55,Beginner,4.4
Timothy Meixner  Johannes Ruof,420,1.5,36,Beginner,4.2
Loony Corn,419,8.5,54,All Levels,4.4
Kaniel Outis,420,9.0,100,All Levels,4.4
Helderberg Learning,419,5.5,30,Beginner,4.0
Packt Publishing,419,5.0,52,Intermediate,4.3
Reed Barger,420,3.5,51,Intermediate,4.2
Jan Zavrel,419,3.0,21,Beginner,3.9
Charlie Chiarelli,418,20.5,118,Beginner,4.6
Nam Ha Minh,419,59.0,253,All Levels,4.5
Islam Elgaeidy,418,2.0,41,Beginner,4.1
